Unnamed__0,id_evento,fecha_reportada,comuna,provincia,region,ubicacion_tipo,rural,evento_tipo_maceda,evento_especifico,actor_tipo_1,actor_especifico_1,actor_especifico_1_armas,actor_tipo_2,actor_mapuche,mapuche_identificado,confrontacion,iniciador,descripcion,mercurio,mella,osal,ciudadano,biobio,mesn,fecha
226,1998050,LA FECHA SE ESPECIFICA,CAÑETE,ARAUCO,BIO-BIO,INSTALACIONES PUBLICAS,URBANO,PROTESTA,OCUPACION DE PROPIEDAD PUBLICA (DIFERENTE A TIERRAS),MANIFESTANTES,MANIFESTANTES PACIFICOS,NO SE MENCIONA,ESTADO,SOLO EL ACTOR 1 ES MAPUCHE,SI,NO,ACTOR 1,"UN CENTENAR DE MAPUCHE OCUPO LA SEDE DE LA CONADI EN CAÑETE, EN RECHAZO AL NOMBRAMIENTO DEL NUEVO DIRECTOR NACIONAL DE LA CONADI. LA OCUPACION SE PROLONGO POR MAS DE OCHO HORAS",SI,SI,NO,NO,NO,9,1998-09-22
3803,2020108,LA FECHA SE ESPECIFICA,TEMUCO,CAUTIN,ARAUCANIA,INSTALACIONES PUBLICAS,URBANO,PROTESTA,PROTESTA VIOLENTA,MANIFESTANTES,ALBOROTADORES,NO SE MENCIONA,ESTADO,SOLO EL ACTOR 1 ES MAPUCHE,SI,SI,ACTOR 1,"CERCA DE UN CENTENAR DE ALBOROTADORES IRRUMPIERON EN LAS INMEDIACIONES DEL ESTADIO GERMAN BECKER DE TEMUCO, DONDE SE REALIZABA UNA REUNION ENTRE DIRIGENTES MAPUCHE Y FUNCIONARIOS DEL GOBIERNO. LOS MANIFESTANTES REALIZARON LA ACCION EN RECHAZO A ESTA REUNION, EN EL LUGAR SE PRODUJERON ESCARAMUZAS CON CARABINEROS.",SI,NO,NO,NO,NO,9,2020-09-09
3552,2019250,LA FECHA SE ESPECIFICA,MULCHEN,BIOBIO,BIO-BIO,FORESTAL,RURAL,ATAQUE,ATAQUE INCENDIARIO,OTROS MAPUCHE,GRUPO NO ESPECIFICADO,ELEMENTOS INCENDIARIOS,EMPRESA FORESTAL,SOLO EL ACTOR 1 ES MAPUCHE,NO,NO,ACTOR 1,DESCONOCIDOS REALIZARON UN ATAQUE INCENDIARIO EN UN FUNDO DE LA FORESTAL MININCO EN MULCHEN. EN EL LUGAR LOS DESCONOCIDOS QUEMARON UNA RETROEXCAVADORA,NO,NO,NO,NO,SI,5,2019-05-26
849,2002051,LA FECHA SE ESPECIFICA,GALVARINO,CAUTIN,ARAUCANIA,FORESTAL,RURAL,OCUPACION DE TIERRAS,OCUPACION DE TIERRAS PACIFICA,ORGANIZACION MAPUCHE,MIEMBROS DE LA ORGANIZACION,NO SE MENCIONA,EMPRESA FORESTAL,SOLO EL ACTOR 1 ES MAPUCHE,SI,NO,ACTOR 1,GRUPOS MAPUCHE DE DOS COMUNIDADES OCUPARON EL FUNDO SANTA LAURA RECLAMANDO DERECHOS SOBRE LAS TIERRAS 1500 HECTAREAS DE LA FORESTAL MILLALEMU,SI,NO,SI,NO,NO,2,2002-02-19
576,2000118,LA FECHA SE ESPECIFICA,TRAIGUEN,MALLECO,ARAUCANIA,FORESTAL,RURAL,COERCION,ALLANAMIENTO,COMUNIDAD,MIEMBROS DE LA COMUNIDAD,NO SE MENCIONA,ESTADO,SOLO EL ACTOR 1 ES MAPUCHE,SI,NO,ACTOR 2,"200 EFECTIVOS POLICIALES INGRESÓ AL FUNDO QUE PERMANECÍA OCUPADO POR COMUNIDADES MAPUCHE DESDE HACE 20 DIAS, LOS POLICIAS NO ENCONTRARON A LOS COMUNEROS SINO SÓLO LAS VIVIENDAS, LAS CUALES FUERON INCAUTADAS",NO,SI,NO,NO,NO,3,2000-03-02
2707,2017079,LA FECHA NO SE ESPECIFICA,ERCILLA,MALLECO,ARAUCANIA,FUNDO,RURAL,ATAQUE,OTROS ATAQUES,OTROS MAPUCHE,ENCAPUCHADOS,ARMAS DE FUEGO,PRIVADOS DUEÑOS DE TIERRAS,SOLO EL ACTOR 1 ES MAPUCHE,NO,NO,ACTOR 1,"AL MENOS 3 SUJETOS ARMADOS Y ENCAPUCHADOS INGRESARON AL FUNDO SANTA AURELINA EN ERCILLA, DONDE INTIMIDARON Y GOLPEARON AL DUEÑO DEL FUNDO CAUSANDOLE UNA HERIDA QUE REQUIRIO 4 PUNTOS EN SU CABEZA. LOS ENCAPUCHADOS SUSTRAJERON UNA CAMIONETA Y UN TRACTOR",SI,NO,NO,NO,SI,1,2017-01-16
143,1996003,LA FECHA NO SE ESPECIFICA,SAN JUAN DE LA COSTA,OSORNO,LOS LAGOS,FORESTAL,RURAL,OCUPACION DE TIERRAS,OCUPACION DE TIERRAS VIOLENTA,OTROS MAPUCHE,GRUPO IDENTIFICABLE,NO SE MENCIONA,EMPRESA FORESTAL,SOLO EL ACTOR 1 ES MAPUCHE,SI,NO,ACTOR 1,"UNOS 25 HUILLICHES OCUPARON PARTE DEL FUNDO SAN NICOLAS DE LA FORESTAL ASERRADEROS ANTIHUAL EN SAN JUAN DE LA COSTA, EXPULSARON A TRABJADORES QUE AHÍ SE ENCONTRABAN, Y DIAS DESPUES COMENZARON A EXPANDIR LA OCUPACION DEL PREDIO",SI,NO,NO,NO,NO,11,1996-11-23
4131,2021054,LA FECHA SE ESPECIFICA,LAUTARO,CAUTIN,ARAUCANIA,FUNDO,RURAL,ATAQUE,ATAQUE INCENDIARIO,OTROS MAPUCHE,ENCAPUCHADOS,ARMAS DE FUEGO,PRIVADOS DUEÑOS DE TIERRAS,SOLO EL ACTOR 1 ES MAPUCHE,NO,NO,ACTOR 1,"GRUPO DE 11 ENCAPUCHADOS LLEGA A FUNDO MIRAFLORES, AMENAZAN A CUIDADOR Y POSTERIORMENTE ENTRAN A CASA PATRONAL, APUNTAN CON ARMA DE FUEGO A PROPIETARIA DEL FUNDO Y AL HUIR DEJAN RAYADO QUE DECIA FUERA LATIFUNDISTAS Y MUERTE APRA POSTERIOR A ESTO INCENDIARON CASA PATRONAL, 1 BODEGA Y DOS VEHICULOS",SI,NO,NO,NO,SI,2,2021-02-22
2508,2016112,LA FECHA SE ESPECIFICA,MARIQUINA,VALDIVIA,LOS RIOS,AUTOPISTA,RURAL,PROTESTA,PROTESTA PACIFICA,ORGANIZACION NO MAPUCHE - GREMIO,MIEMBROS DEL GREMIO,NO SE MENCIONA,ESTADO,NO HAY ACTORES MAPUCHE,NO,NO,ACTOR 1,"LOS EMPRESARIOS CONTRATISTES FORESTALES Y SUS TRABAJADORES SE MOVILIZARON DESDE EL BIOBIO HASTA LOS RIOS, ENTREGANDO VOLANTES, CON LIENZOS Y LA MUESTRA DE MAQUINARIAS QUEMADAS PARA CONVOCAR A UNA GRAN MESA DE DIALOGO ENTRE TODAS LAS PARTES INVOLUCRADAS EN EL CONFLICTO MAPUCHE, SE MOVILIZARON 2500 PERSONAS Y UNOS 600 CAMIONES",SI,NO,NO,NO,NO,3,2016-03-15
1666,2010040,LA FECHA NO SE ESPECIFICA,CAÑETE,ARAUCO,BIO-BIO,FUNDO,RURAL,OCUPACION DE TIERRAS,OCUPACION DE TIERRAS PACIFICA,OTROS MAPUCHE,GRUPO IDENTIFICABLE,NO SE MENCIONA,PRIVADOS DUEÑOS DE TIERRAS,SOLO EL ACTOR 1 ES MAPUCHE,SI,NO,ACTOR 1,UN GRUPO DE MAPUCHE OCUPO UN PREDIO EN EL SECTOR DE LANALHUE-HUENTELOLEN INDEFINIDAMENTE POR DEMANDAS DE DERECHO ANCESTRAL SOBRE EL TERRENO,SI,NO,SI,NO,NO,2,2010-02-23
